14.9331 	EXP 	window1: blendMode = 'avg'
14.9575 	EXP 	window1: blendMode = 'avg'
14.9661 	EXP 	window1: blendMode = 'avg'
14.9901 	EXP 	window1: blendMode = 'avg'
14.9999 	EXP 	window1: blendMode = 'avg'
15.0162 	EXP 	window1: blendMode = 'avg'
15.0336 	EXP 	window1: blendMode = 'avg'
15.0503 	EXP 	window1: blendMode = 'avg'
15.0664 	EXP 	window1: blendMode = 'avg'
15.0835 	EXP 	window1: blendMode = 'avg'
15.0994 	EXP 	window1: blendMode = 'avg'
15.1171 	EXP 	window1: blendMode = 'avg'
15.1332 	EXP 	window1: blendMode = 'avg'
15.1500 	EXP 	window1: blendMode = 'avg'
15.1667 	EXP 	window1: blendMode = 'avg'
15.1840 	EXP 	window1: blendMode = 'avg'
15.1999 	EXP 	window1: blendMode = 'avg'
15.2166 	EXP 	window1: blendMode = 'avg'
15.2334 	EXP 	window1: blendMode = 'avg'
15.2497 	EXP 	window1: blendMode = 'avg'
15.2660 	EXP 	window1: blendMode = 'avg'
15.2840 	EXP 	window1: blendMode = 'avg'
15.2995 	EXP 	window1: blendMode = 'avg'
15.3165 	EXP 	window1: blendMode = 'avg'
15.3329 	EXP 	window1: blendMode = 'avg'
15.3496 	EXP 	window1: blendMode = 'avg'
15.3664 	EXP 	window1: blendMode = 'avg'
15.3829 	EXP 	window1: blendMode = 'avg'
15.4003 	EXP 	window1: blendMode = 'avg'
15.4166 	EXP 	window1: blendMode = 'avg'
15.4329 	EXP 	window1: blendMode = 'avg'
15.4496 	EXP 	window1: blendMode = 'avg'
15.4674 	EXP 	window1: blendMode = 'avg'
15.4830 	EXP 	window1: blendMode = 'avg'
15.5001 	EXP 	window1: blendMode = 'avg'
15.5162 	EXP 	window1: blendMode = 'avg'
15.5334 	EXP 	window1: blendMode = 'avg'
15.5496 	EXP 	window1: blendMode = 'avg'
15.5667 	EXP 	window1: blendMode = 'avg'
15.5832 	EXP 	window1: blendMode = 'avg'
15.6001 	EXP 	window1: blendMode = 'avg'
15.6163 	EXP 	window1: blendMode = 'avg'
15.6340 	EXP 	window1: blendMode = 'avg'
15.6497 	EXP 	window1: blendMode = 'avg'
15.6687 	EXP 	window1: blendMode = 'avg'
15.6828 	EXP 	window1: blendMode = 'avg'
15.7027 	EXP 	window1: blendMode = 'avg'
15.7165 	EXP 	window1: blendMode = 'avg'
15.7363 	EXP 	window1: blendMode = 'avg'
15.7499 	EXP 	window1: blendMode = 'avg'
15.7698 	EXP 	window1: blendMode = 'avg'
15.7834 	EXP 	window1: blendMode = 'avg'
15.8042 	EXP 	window1: blendMode = 'avg'
15.8176 	EXP 	window1: blendMode = 'avg'
15.8378 	EXP 	window1: blendMode = 'avg'
15.8497 	EXP 	window1: blendMode = 'avg'
15.8716 	EXP 	window1: blendMode = 'avg'
15.8837 	EXP 	window1: blendMode = 'avg'
15.9055 	EXP 	window1: blendMode = 'avg'
15.9164 	EXP 	window1: blendMode = 'avg'
15.9388 	EXP 	window1: blendMode = 'avg'
15.9504 	EXP 	window1: blendMode = 'avg'
15.9734 	EXP 	window1: blendMode = 'avg'
15.9835 	EXP 	window1: blendMode = 'avg'
16.0005 	EXP 	window1: blendMode = 'avg'
16.0166 	EXP 	window1: blendMode = 'avg'
16.0333 	EXP 	window1: blendMode = 'avg'
16.0497 	EXP 	window1: blendMode = 'avg'
16.0671 	EXP 	window1: blendMode = 'avg'
16.0841 	EXP 	window1: blendMode = 'avg'
16.1005 	EXP 	window1: blendMode = 'avg'
16.1164 	EXP 	window1: blendMode = 'avg'
16.1339 	EXP 	window1: blendMode = 'avg'
16.1503 	EXP 	window1: blendMode = 'avg'
16.1671 	EXP 	window1: blendMode = 'avg'
16.1833 	EXP 	window1: blendMode = 'avg'
16.2001 	EXP 	window1: blendMode = 'avg'
16.2165 	EXP 	window1: blendMode = 'avg'
16.2339 	EXP 	window1: blendMode = 'avg'
16.2502 	EXP 	window1: blendMode = 'avg'
16.2668 	EXP 	window1: blendMode = 'avg'
16.2842 	EXP 	window1: blendMode = 'avg'
16.3000 	EXP 	window1: blendMode = 'avg'
16.3165 	EXP 	window1: blendMode = 'avg'
16.3339 	EXP 	window1: blendMode = 'avg'
16.3494 	EXP 	window1: blendMode = 'avg'
16.3668 	EXP 	window1: blendMode = 'avg'
16.3839 	EXP 	window1: blendMode = 'avg'
16.4002 	EXP 	window1: blendMode = 'avg'
16.4172 	EXP 	window1: blendMode = 'avg'
16.4336 	EXP 	window1: blendMode = 'avg'
16.4505 	EXP 	window1: blendMode = 'avg'
16.4666 	EXP 	window1: blendMode = 'avg'
16.4840 	EXP 	window1: blendMode = 'avg'
16.5001 	EXP 	window1: blendMode = 'avg'
16.5179 	EXP 	window1: blendMode = 'avg'
16.5335 	EXP 	window1: blendMode = 'avg'
16.5505 	EXP 	window1: blendMode = 'avg'
16.5667 	EXP 	window1: blendMode = 'avg'
16.5846 	EXP 	window1: blendMode = 'avg'
16.6001 	EXP 	window1: blendMode = 'avg'
16.6175 	EXP 	window1: blendMode = 'avg'
16.6336 	EXP 	window1: blendMode = 'avg'
16.6503 	EXP 	window1: blendMode = 'avg'
16.6672 	EXP 	window1: blendMode = 'avg'
16.6846 	EXP 	window1: blendMode = 'avg'
16.7000 	EXP 	window1: blendMode = 'avg'
16.7190 	EXP 	window1: blendMode = 'avg'
16.7339 	EXP 	window1: blendMode = 'avg'
16.7531 	EXP 	window1: blendMode = 'avg'
16.7667 	EXP 	window1: blendMode = 'avg'
16.7861 	EXP 	window1: blendMode = 'avg'
16.8006 	EXP 	window1: blendMode = 'avg'
16.8231 	EXP 	window1: blendMode = 'avg'
16.8336 	EXP 	window1: blendMode = 'avg'
16.8560 	EXP 	window1: blendMode = 'avg'
16.8667 	EXP 	window1: blendMode = 'avg'
16.8914 	EXP 	window1: blendMode = 'avg'
16.9000 	EXP 	window1: blendMode = 'avg'
16.9245 	EXP 	window1: blendMode = 'avg'
16.9332 	EXP 	window1: blendMode = 'avg'
16.9598 	EXP 	window1: blendMode = 'avg'
16.9676 	EXP 	window1: blendMode = 'avg'
16.9914 	EXP 	window1: blendMode = 'avg'
17.0020 	EXP 	window1: blendMode = 'avg'
17.0268 	EXP 	window1: blendMode = 'avg'
17.0340 	EXP 	window1: blendMode = 'avg'
17.0591 	EXP 	window1: blendMode = 'avg'
17.0670 	EXP 	window1: blendMode = 'avg'
17.0914 	EXP 	window1: blendMode = 'avg'
17.1009 	EXP 	window1: blendMode = 'avg'
17.1277 	EXP 	window1: blendMode = 'avg'
17.1343 	EXP 	window1: blendMode = 'avg'
17.1502 	EXP 	window1: blendMode = 'avg'
17.1666 	EXP 	window1: blendMode = 'avg'
17.1838 	EXP 	window1: blendMode = 'avg'
17.1999 	EXP 	window1: blendMode = 'avg'
17.2176 	EXP 	window1: blendMode = 'avg'
17.2333 	EXP 	window1: blendMode = 'avg'
17.2513 	EXP 	window1: blendMode = 'avg'
17.2667 	EXP 	window1: blendMode = 'avg'
17.2843 	EXP 	window1: blendMode = 'avg'
17.3012 	EXP 	window1: blendMode = 'avg'
17.3171 	EXP 	window1: blendMode = 'avg'
17.3511 	EXP 	window1: blendMode = 'avg'
17.3673 	EXP 	window1: blendMode = 'avg'
17.3843 	EXP 	window1: blendMode = 'avg'
17.4006 	EXP 	window1: blendMode = 'avg'
17.4174 	EXP 	window1: blendMode = 'avg'
17.4335 	EXP 	window1: blendMode = 'avg'
17.4506 	EXP 	window1: blendMode = 'avg'
17.4735 	EXP 	window1: blendMode = 'avg'
17.4836 	EXP 	window1: blendMode = 'avg'
17.5037 	EXP 	window1: blendMode = 'avg'
17.5178 	EXP 	window1: blendMode = 'avg'
17.5379 	EXP 	window1: blendMode = 'avg'
17.5511 	EXP 	window1: blendMode = 'avg'
17.5706 	EXP 	window1: blendMode = 'avg'
17.5843 	EXP 	window1: blendMode = 'avg'
17.6054 	EXP 	window1: blendMode = 'avg'
17.6170 	EXP 	window1: blendMode = 'avg'
17.6346 	EXP 	window1: blendMode = 'avg'
17.6510 	EXP 	window1: blendMode = 'avg'
17.6693 	EXP 	window1: blendMode = 'avg'
17.6838 	EXP 	window1: blendMode = 'avg'
17.7036 	EXP 	window1: blendMode = 'avg'
17.7166 	EXP 	window1: blendMode = 'avg'
17.7367 	EXP 	window1: blendMode = 'avg'
17.7506 	EXP 	window1: blendMode = 'avg'
